year,catch
1956,1391
1957,2759
1958,797
1959,1101
1960,2142
1961,16897
1962,65731
1963,139109
1964,248192
1965,360131
1966,221172
1967,139206
1968,125822
1969,113333
1970,84983
1971,115758
1972,158768
1973,144478
1974,153143
1975,142015
1976,174081
1977,195768
1978,160830
1979,162675
1980,202426
1981,239476
1982,234001
1983,296988
1984,356659
1985,320656
1986,147483
1987,146703
1988,158411
1989,188253
1990,236591
1991,247657
1992,261694
1993,256482
1994,232578
1995,216585
1996,199992
1997,231312
1998,246113
1999,231780
2000,204396
2001,182011
2002,173554
2003,180173
2004,171734
2005,185211
2006,195594
2007,174887
2008,184149
2009,169604
2010,215833
2011,225596
2012,233927
2013,230292
2014,296974
2015,294106
2016,297193
2017,303577
2018,246642
2019,137237
2020,186637
2021,178511